Sl. No.,State/UT,e2W,e3W,e4W,Electric Bus,No of public charging station,latitude,longitude
1,Andaman and Nicobar Islands,2,0,2,NA,3,11.66702557,92.73598262
2,Andhra Pradesh,17401,2100,2,NA,222,14.7504291,78.57002559
3,Arunachal Pradesh,1,1,NA,NA,9,27.10039878,93.61660071
4,Assam,1161,1064,1,NA,48,26.7499809,94.21666744
5,Bihar,7108,4587,2,25,83,25.78541445,87.4799727
6,Chandigarh,464,63,NA,40,6,30.71999697,76.78000565
7,Chhattisgarh,8579,2319,12,NA,46,22.09042035,82.15998734
8,Delhi,23928,7791,1918,209,1845,20.26657819,73.0166178
9,Goa,2384,18,2,50,44,28.6699929,77.23000403
10,Gujarat,32830,932,62,238,195,15.491997,73.81800065
11,Haryana,10318,1768,35,NA,232,28.45000633,77.01999101
12,Himachal Pradesh,664,171,NA,NA,27,31.10002545,77.16659704
13,Jammu Kashmir,1984,58,NA,NA,24,34.29995933,74.46665849
14,Jharkhand,4009,802,50,NA,60,23.80039349,86.41998572
15,Karnataka,68508,3621,597,NA,704,12.57038129,76.91999711
16,Kerala,16729,2095,11,NA,192,8.900372741,76.56999263
17,Ladakh,20,NA,NA,NA,18,34.2268,77.5619
18,Lakshadweep,3,2,NA,NA,1,10.56257331,72.63686717
19,Madhya Pradesh,13426,3159,12,NA,174,21.30039105,76.13001949
20,Maharashtra,68710,2056,430,495,660,19.25023195,73.16017493
21,Manipur,34,164,NA,NA,16,24.79997072,93.95001705
22,Meghalaya,15,9,NA,NA,19,25.57049217,91.8800142
23,Mizoram,2,NA,NA,NA,2,23.71039899,92.72001461
24,Nagaland,3,NA,NA,NA,6,25.6669979,94.11657019
25,Odisha,13914,675,29,NA,117,19.82042971,85.90001746
26,Puducherry,844,9,NA,NA,4,11.93499371,79.83000037
27,Punjab,6797,222,3,NA,126,31.51997398,75.98000281
28,Rajasthan,32563,1567,12,NA,254,26.44999921,74.63998124
29,Sikkim,5,1,NA,NA,1,27.3333303,88.6166475
30,Tamil Nadu,53151,1610,14,NA,441,12.92038576,79.15004187
31,Telangana,17590,1162,166,NA,365,18.1124,79.0193
32,Dadra and Nagar Haveli and Daman and Diu,39,23,NA,10,18,20.1809,73.0169
33,Tripura,86,1453,NA,NA,1,23.83540428,91.27999914
34,Uttar Pradesh,17296,10298,16,350,406,27.59998069,78.05000565
35,Uttarakhand,3290,2420,21,10,48,30.32040895,78.05000565
36,West Bengal,4594,1028,36,7,189,22.58039044,88.32994665
